1.txt repeat0 494 True False 0,1 [empty] True
39.txt repeat3 614 True False 0,3|1,2|2,3 [empty] True
39.txt repeat4 2592 True False 0,3|1,2|2,3 [empty] True
4.txt repeat0 544 False False 1,2 [empty] True
4.txt repeat1 447 False False 1,2 [empty] True
4.txt repeat2 425 True False 1,2 [empty] True
4.txt repeat3 476 True False 1,2 [empty] True
4.txt repeat4 564 True False 1,2 [empty] True
40.txt repeat0 554 True False 0,3|1,3|2,3 [empty] True
40.txt repeat1 438 False False 0,3|1,3|2,3 [empty] True
40.txt repeat2 420 False False 0,3|1,3|2,3 [empty] True
40.txt repeat3 346 False False 0,3|1,3|2,3 [empty] True
40.txt repeat4 547 False False 0,3|1,3|2,3 [empty] True
41.txt repeat0 543 True False 1,2|1,3|2,3 [empty] True
41.txt repeat1 714 True False 1,2|1,3|2,3 [empty] True
41.txt repeat2 378 True False 1,2|1,3|2,3 [empty] True
41.txt repeat3 563 True False 1,2|1,3|2,3 [empty] True
41.txt repeat4 766 True False 1,2|1,3|2,3 [empty] True
42.txt repeat0 410 True False 0,1|0,2|0,3|1,2 [empty] True
42.txt repeat1 674 True False 0,1|0,2|0,3|1,2 [empty] True
42.txt repeat2 717 True False 0,1|0,2|0,3|1,2 [empty] True
42.txt repeat3 590 True False 0,1|0,2|0,3|1,2 [empty] True
42.txt repeat4 571 True False 0,1|0,2|0,3|1,2 [empty] True
43.txt repeat0 712 True False 0,1|0,2|0,3|1,3 [empty] True
43.txt repeat1 756 True False 0,1|0,2|0,3|1,3 [empty] True
43.txt repeat2 681 True False 0,1|0,2|0,3|1,3 [empty] True
43.txt repeat3 316 False False 0,1|0,2|0,3|1,3 [empty] True
43.txt repeat4 515 True False 0,1|0,2|0,3|1,3 [empty] True
44.txt repeat0 302 False False 0,1|0,2|0,3|2,3 [empty] True
44.txt repeat1 636 True False 0,1|0,2|0,3|2,3 [empty] True
44.txt repeat2 507 True False 0,1|0,2|0,3|2,3 [empty] True
44.txt repeat3 497 True False 0,1|0,2|0,3|2,3 [empty] True
44.txt repeat4 407 True False 0,1|0,2|0,3|2,3 [empty] True
45.txt repeat0 657 True False 0,1|0,2|1,2|1,3 [empty] True
45.txt repeat1 1117 True False 0,1|0,2|1,2|1,3 [empty] True
45.txt repeat2 776 True False 0,1|0,2|1,2|1,3 [empty] True
45.txt repeat3 550 True False 0,1|0,2|1,2|1,3 [empty] True
45.txt repeat4 598 True False 0,1|0,2|1,2|1,3 [empty] True
46.txt repeat0 499 True False 0,1|0,2|1,2|2,3 [empty] True
46.txt repeat1 656 True False 0,1|0,2|1,2|2,3 [empty] True
46.txt repeat2 619 True False 0,1|0,2|1,2|2,3 [empty] True
46.txt repeat3 711 True False 0,1|0,2|1,2|2,3 [empty] True
46.txt repeat4 783 True False 0,1|0,2|1,2|2,3 [empty] True
47.txt repeat0 454 True False 0,1|0,2|1,3|2,3 [empty] True
47.txt repeat1 509 True False 0,1|0,2|1,3|2,3 [empty] True
47.txt repeat2 607 True False 0,1|0,2|1,3|2,3 [empty] True
47.txt repeat3 382 True False 0,1|0,2|1,3|2,3 [empty] True
47.txt repeat4 570 True False 0,1|0,2|1,3|2,3 [empty] True
48.txt repeat0 538 True False 0,1|0,3|1,2|1,3 [empty] True
48.txt repeat1 851 True False 0,1|0,3|1,2|1,3 [empty] True
48.txt repeat2 737 True False 0,1|0,3|1,2|1,3 [empty] True
48.txt repeat3 657 True False 0,1|0,3|1,2|1,3 [empty] True
48.txt repeat4 905 True False 0,1|0,3|1,2|1,3 [empty] True
49.txt repeat0 481 True False 0,1|0,3|1,2|2,3 [empty] True
49.txt repeat1 1075 True False 0,1|0,3|1,2|2,3 [empty] True
49.txt repeat2 633 True False 0,1|0,3|1,2|2,3 [empty] True
49.txt repeat3 682 True False 0,1|0,3|1,2|2,3 [empty] True
49.txt repeat4 564 True False 0,1|0,3|1,2|2,3 [empty] True
5.txt repeat0 580 False False 1,3 [empty] True
5.txt repeat1 414 True False 1,3 [empty] True
5.txt repeat2 1170 False False 1,3 [empty] True
5.txt repeat3 549 False False 1,3 [empty] True
5.txt repeat4 705 False False 1,3 [empty] True
50.txt repeat0 696 True False 0,1|0,3|1,3|2,3 [empty] True
50.txt repeat1 491 True False 0,1|0,3|1,3|2,3 [empty] True
50.txt repeat2 871 True False 0,1|0,3|1,3|2,3 [empty] True
50.txt repeat3 686 True False 0,1|0,3|1,3|2,3 [empty] True
50.txt repeat4 338 True False 0,1|0,3|1,3|2,3 [empty] True
51.txt repeat0 976 True False 0,1|1,2|1,3|2,3 [empty] True
51.txt repeat1 889 True False 0,1|1,2|1,3|2,3 [empty] True
51.txt repeat2 641 True False 0,1|1,2|1,3|2,3 [empty] True
51.txt repeat3 818 True False 0,1|1,2|1,3|2,3 [empty] True
51.txt repeat4 699 True False 0,1|1,2|1,3|2,3 [empty] True
52.txt repeat0 730 True False 0,2|0,3|1,2|1,3 [empty] True
52.txt repeat1 477 True False 0,2|0,3|1,2|1,3 [empty] True
52.txt repeat2 617 True False 0,2|0,3|1,2|1,3 [empty] True
52.txt repeat3 676 True False 0,2|0,3|1,2|1,3 [empty] True
52.txt repeat4 530 True False 0,2|0,3|1,2|1,3 [empty] True
53.txt repeat0 648 True False 0,2|0,3|1,2|2,3 [empty] True
53.txt repeat1 642 True False 0,2|0,3|1,2|2,3 [empty] True
53.txt repeat2 873 True False 0,2|0,3|1,2|2,3 [empty] True
53.txt repeat3 843 True False 0,2|0,3|1,2|2,3 [empty] True
53.txt repeat4 617 True False 0,2|0,3|1,2|2,3 [empty] True
54.txt repeat0 654 True False 0,2|0,3|1,3|2,3 [empty] True
54.txt repeat1 776 True False 0,2|0,3|1,3|2,3 [empty] True
54.txt repeat2 723 True False 0,2|0,3|1,3|2,3 [empty] True
54.txt repeat3 858 True False 0,2|0,3|1,3|2,3 [empty] True
54.txt repeat4 717 True False 0,2|0,3|1,3|2,3 [empty] True
55.txt repeat0 1030 True False 0,2|1,2|1,3|2,3 [empty] True
55.txt repeat1 619 True False 0,2|1,2|1,3|2,3 [empty] True
55.txt repeat2 1275 True False 0,2|1,2|1,3|2,3 [empty] True
55.txt repeat3 469 True False 0,2|1,2|1,3|2,3 [empty] True
55.txt repeat4 949 True False 0,2|1,2|1,3|2,3 [empty] True
56.txt repeat0 715 True False 0,3|1,2|1,3|2,3 [empty] True
56.txt repeat1 1712 True False 0,3|1,2|1,3|2,3 [empty] True
56.txt repeat2 567 True False 0,3|1,2|1,3|2,3 [empty] True
56.txt repeat3 945 True False 0,3|1,2|1,3|2,3 [empty] True
56.txt repeat4 1012 True False 0,3|1,2|1,3|2,3 [empty] True
57.txt repeat0 866 True False 0,1|0,2|0,3|1,2|1,3 [empty] True
57.txt repeat1 634 True False 0,1|0,2|0,3|1,2|1,3 [empty] True
57.txt repeat2 791 True False 0,1|0,2|0,3|1,2|1,3 [empty] True
57.txt repeat3 894 True False 0,1|0,2|0,3|1,2|1,3 [empty] True
57.txt repeat4 887 True False 0,1|0,2|0,3|1,2|1,3 [empty] True
58.txt repeat0 647 True False 0,1|0,2|0,3|1,2|2,3 [empty] True
58.txt repeat1 746 True False 0,1|0,2|0,3|1,2|2,3 [empty] True
58.txt repeat2 676 True False 0,1|0,2|0,3|1,2|2,3 [empty] True
58.txt repeat3 507 True False 0,1|0,2|0,3|1,2|2,3 [empty] True
58.txt repeat4 757 True False 0,1|0,2|0,3|1,2|2,3 [empty] True
59.txt repeat0 585 True False 0,1|0,2|0,3|1,3|2,3 [empty] True
59.txt repeat1 326 True False 0,1|0,2|0,3|1,3|2,3 [empty] True
59.txt repeat2 713 True False 0,1|0,2|0,3|1,3|2,3 [empty] True
59.txt repeat3 499 True False 0,1|0,2|0,3|1,3|2,3 [empty] True
59.txt repeat4 695 True False 0,1|0,2|0,3|1,3|2,3 [empty] True
6.txt repeat0 330 False False [empty] [empty] True
6.txt repeat1 544 False False 2,3 [empty] True
6.txt repeat2 330 False False [empty] [empty] True
6.txt repeat3 566 True False 2,3 [empty] True
6.txt repeat4 499 False False 2,3 [empty] True
60.txt repeat0 385 True False 0,1|0,2|1,2|1,3|2,3 [empty] True
60.txt repeat1 635 True False 0,1|0,2|1,2|1,3|2,3 [empty] True
60.txt repeat2 634 True False 0,1|0,2|1,2|1,3|2,3 [empty] True
60.txt repeat3 903 True False 0,1|0,2|1,2|1,3|2,3 [empty] True
60.txt repeat4 1011 True False 0,1|0,2|1,2|1,3|2,3 [empty] True
61.txt repeat0 1258 True False 0,1|0,3|1,2|1,3|2,3 [empty] True
61.txt repeat1 718 True False 0,1|0,3|1,2|1,3|2,3 [empty] True
61.txt repeat2 751 True False 0,1|0,3|1,2|1,3|2,3 [empty] True
61.txt repeat3 605 True False 0,1|0,3|1,2|1,3|2,3 [empty] True
61.txt repeat4 533 True False 0,1|0,3|1,2|1,3|2,3 [empty] True
62.txt repeat0 617 True False 0,2|0,3|1,2|1,3|2,3 [empty] True
62.txt repeat1 1109 True False 0,2|0,3|1,2|1,3|2,3 [empty] True
62.txt repeat2 563 True False 0,2|0,3|1,2|1,3|2,3 [empty] True
62.txt repeat3 682 True False 0,2|0,3|1,2|1,3|2,3 [empty] True
62.txt repeat4 444 True False 0,2|0,3|1,2|1,3|2,3 [empty] True
63.txt repeat0 305 True False 0,1|0,2|0,3|1,2|1,3|2,3 [empty] True
63.txt repeat1 569 True False 0,1|0,2|0,3|1,2|1,3|2,3 [empty] True
63.txt repeat2 407 True False 0,1|0,2|0,3|1,2|1,3|2,3 [empty] True
63.txt repeat3 325 True False 0,1|0,2|0,3|1,2|1,3|2,3 [empty] True
63.txt repeat4 499 True False 0,1|0,2|0,3|1,2|1,3|2,3 [empty] True
7.txt repeat0 435 False False 0,1|0,2 [empty] True
7.txt repeat1 707 False False 0,1|0,2 [empty] True
7.txt repeat2 590 True False 0,1|0,2 [empty] True
7.txt repeat3 453 False False 0,1|0,2 [empty] True
7.txt repeat4 534 False False 0,1|0,2 [empty] True
8.txt repeat0 506 False False 0,1|0,3 [empty] True
8.txt repeat1 604 True False 0,1|0,3 [empty] True
8.txt repeat2 440 False False 0,1|0,3 [empty] True
8.txt repeat3 445 True False 0,1|0,3 [empty] True
8.txt repeat4 564 True False 0,1|0,3 [empty] True
9.txt repeat0 474 True False 0,1|1,2 [empty] True
9.txt repeat1 507 False False 0,1|1,2 [empty] True
9.txt repeat2 724 True False 0,1|1,2 [empty] True
9.txt repeat3 565 True False 0,1|1,2 [empty] True
9.txt repeat4 364 True False 0,1|1,2 [empty] True
