1.txt math True impossible incorrect
248.txt math True 0|0|1|2|1|2|3|3 correct
249.txt math True 0|2|2|3|1|3|0|0 correct
25.txt math True 1|1|2|2|3|3|0|0 correct
250.txt math True 0|1|1|2|0|2|3|3 correct
251.txt math True 0|1|0|2|2|1|3|3 correct
252.txt math True 0|1|2|1|0|2|3|3 correct
253.txt math True 0|1|2|1|0|2|3|3 correct
254.txt math True 0|1|2|1|2|3|0|0 correct
255.txt math True impossible incorrect
256.txt math True 0|1|2|0|1|2|3|3 correct
257.txt math True 1|0|2|1|1|2|3|3 correct
258.txt math True impossible incorrect
259.txt math True 2|0|1|1|2|2|3|3 correct
26.txt math True 0|1|2|2|3|3|1|1 correct
260.txt math True impossible incorrect
261.txt math True 0|0|1|2|2|3|3|3 correct
262.txt math True 0|0|2|1|1|2|3|3 correct
263.txt math True impossible incorrect
264.txt math True 0|1|0|2|0|1|3|3 correct
265.txt math True 0|2|2|0|0|1|3|3 correct
266.txt math True impossible incorrect
267.txt math True 0|0|2|1|2|1|3|3 correct
268.txt math True 0|1|3|1|0|2|3|3 correct
269.txt math True 0|1|2|1|3|3|2|2 correct
27.txt math True 0|1|2|1|2|0|3|3 correct
270.txt math True 2|3|3|0|3|2|1|1 correct
271.txt math True impossible incorrect
272.txt math True 0|0|2|3|3|2|1|1 correct
273.txt math True 0|1|2|1|0|2|3|3 correct
274.txt math True 0|1|1|0|2|2|3|3 correct
275.txt math True impossible incorrect
276.txt math True 0|1|1|2|2|3|3|3 correct
277.txt math True 0|2|2|1|0|3|3|3 correct
278.txt math True 0|1|2|3|2|0|1|1 correct
279.txt math True 0|0|1|2|1|2|3|3 correct
28.txt math True impossible incorrect
280.txt math True 0|0|1|2|1|0|3|3 correct
281.txt math True 0|1|0|2|2|2|3|3 correct
282.txt math True 0|1|1|2|2|0|3|3 correct
283.txt math True 0|1|1|0|2|3|2|2 correct
284.txt math True 0|1|1|2|2|0|3|3 correct
285.txt math True 0|1|2|3|1|1|2|2 correct
286.txt math True 0|1|2|0|2|1|3|3 correct
287.txt math True 0|1|2|0|2|1|3|3 correct
288.txt math True 0|1|0|2|1|2|3|3 correct
289.txt math True 2|1|2|1|0|0|3|3 correct
29.txt math True impossible incorrect
290.txt math True 0|1|1|1|2|2|3|3 correct
291.txt math True 0|1|0|2|2|1|3|3 correct
292.txt math True 0|1|2|2|3|1|0|0 correct
293.txt math True 0|1|1|1|2|2|3|3 correct
294.txt math True 0|1|1|2|3|3|2|2 correct
295.txt math True impossible incorrect
296.txt math True impossible incorrect
297.txt math True 0|2|1|1|0|2|3|3 correct
298.txt math True 0|0|2|3|1|3|1|1 correct
299.txt math True impossible incorrect
3.txt math True 0|1|2|0|3|1|3|3 correct
30.txt math True 0|1|3|3|1|0|2|2 correct
300.txt math True 0|1|2|2|0|1|3|3 correct
301.txt math True 0|0|2|2|1|1|3|3 correct
302.txt math True 0|1|1|2|3|3|0|0 correct
303.txt math True 0|0|2|1|1|2|3|3 correct
304.txt math True 0|1|1|2|3|2|3|3 correct
305.txt math True 0|0|1|2|2|1|3|3 correct
306.txt math True 0|1|2|0|2|1|3|3 correct
307.txt math True 0|1|1|1|3|0|2|2 correct
308.txt math True 1|2|1|3|0|3|2|2 correct
309.txt math True 0|1|1|0|2|2|3|3 correct
31.txt math True 0|1|2|2|0|1|3|3 correct
310.txt math True 2|1|0|1|1|2|3|3 correct
311.txt math True 0|1|2|0|1|2|3|3 correct
312.txt math True 0|0|1|2|1|2|3|3 correct
313.txt math True 0|0|1|2|2|1|3|3 correct
314.txt math True 0|1|2|0|2|3|1|1 correct
315.txt math True impossible incorrect
316.txt math True 0|0|1|2|2|1|3|3 correct
317.txt math True 0|1|0|2|2|1|3|3 correct
318.txt math True 0|0|1|2|1|2|3|3 correct
319.txt math True 0|1|2|0|3|3|1|1 correct
32.txt math True 0|0|1|2|2|1|3|3 correct
320.txt math True 0|1|0|1|2|2|3|3 correct
321.txt math True 0|1|2|2|1|0|3|3 correct
322.txt math True 0|1|1|3|0|1|2|2 correct
323.txt math True 0|1|1|3|3|0|2|2 correct
324.txt math True impossible incorrect
325.txt math True 0|1|2|1|0|2|3|3 correct
326.txt math True 0|1|2|2|0|1|3|3 correct
327.txt math True 0|0|1|0|2|1|3|3 correct
328.txt math True impossible incorrect
329.txt math True 0|2|3|0|3|2|1|1 correct
33.txt math True 0|0|1|1|2|2|3|3 correct
330.txt math True 0|1|0|2|2|1|3|3 correct
331.txt math True 0|1|1|3|0|3|2|2 correct
332.txt math True 0|1|2|3|2|0|1|1 correct
333.txt math True 0|0|2|1|3|3|2|2 correct
334.txt math True 0|2|2|1|1|0|3|3 correct
335.txt math True 0|1|1|2|2|0|3|3 correct
336.txt math True 3|0|1|2|3|2|1|1 correct
337.txt math True 0|1|2|2|0|1|3|3 correct
338.txt math True 0|2|3|2|0|3|1|1 correct
339.txt math True 2|0|1|2|2|1|3|3 correct
34.txt math True impossible incorrect
340.txt math True 0|1|2|0|2|1|3|3 correct
341.txt math True 0|0|2|3|3|2|1|1 correct
342.txt math True 0|0|1|2|1|2|3|3 correct
343.txt math True 0|1|2|0|1|2|3|3 correct
344.txt math True 1|0|2|1|2|2|3|3 correct
345.txt math True 0|1|0|2|2|1|3|3 correct
346.txt math True 2|3|3|3|3|2|0|1 incorrect
347.txt math True 0|2|2|0|1|1|3|3 correct
348.txt math True 0|2|2|1|0|1|3|3 correct
349.txt math True 0|1|2|3|0|3|1|1 correct
35.txt math True 0|0|2|1|3|1|2|2 correct
350.txt math True 0|1|1|2|0|2|3|3 correct
351.txt math True 0|0|2|2|1|3|1|1 correct
352.txt math True 0|1|2|2|1|0|3|3 correct
353.txt math True 0|1|2|1|0|0|3|3 correct
354.txt math True 0|1|2|0|1|2|3|3 correct
355.txt math True 1|0|2|2|2|1|3|3 correct
356.txt math True 0|1|2|1|2|0|3|3 correct
357.txt math True 0|1|2|2|0|1|3|3 correct
358.txt math True 0|2|0|1|2|1|3|3 correct
359.txt math True 0|1|1|0|2|2|3|3 correct
36.txt math True 0|1|0|3|3|1|2|2 correct
360.txt math True 0|1|1|2|0|2|3|3 correct
361.txt math True 0|2|0|2|1|1|3|3 correct
362.txt math True 2|1|3|3|0|2|1|1 correct
363.txt math True 0|1|2|1|0|2|3|3 correct
364.txt math True 0|2|1|0|2|1|3|3 correct
365.txt math True 0|0|1|1|2|3|3|3 correct
366.txt math True 0|1|0|2|2|1|3|3 correct
367.txt math True 0|1|1|2|3|3|2|2 correct
368.txt math True 3|0|1|3|2|2|1|1 correct
369.txt math True 0|1|2|2|2|1|3|3 correct
37.txt math True 0|1|2|2|3|0|3|3 correct
370.txt math True 0|1|1|2|0|2|3|3 correct
371.txt math True 0|1|2|2|3|3|1|1 correct
372.txt math True impossible incorrect
373.txt math True impossible incorrect
374.txt math True 0|1|0|2|1|2|3|3 correct
375.txt math True 0|1|2|0|2|1|3|3 correct
376.txt math True impossible incorrect
377.txt math True 0|0|2|1|2|1|3|3 correct
378.txt math True 0|1|1|2|0|2|3|3 correct
379.txt math True impossible incorrect
38.txt math True 0|0|2|2|1|1|3|3 correct
380.txt math True 0|1|2|2|3|0|3|3 correct
381.txt math True impossible incorrect
382.txt math True 0|2|0|2|1|1|3|3 correct
383.txt math True 0|0|2|1|2|2|3|3 correct
384.txt math True 0|1|1|2|0|2|3|3 correct
385.txt math True 0|0|2|1|2|1|3|3 correct
386.txt math True impossible incorrect
387.txt math True impossible incorrect
388.txt math True impossible incorrect
389.txt math True 0|1|2|2|1|0|3|3 correct
39.txt math True 0|1|2|0|1|2|3|3 correct
390.txt math True 0|1|2|1|0|2|3|3 correct
391.txt math True 0|0|2|1|2|1|3|3 correct
392.txt math True 0|1|2|0|3|2|3|3 correct
393.txt math True 0|2|0|1|1|2|3|2 incorrect
394.txt math True 0|1|0|1|2|2|3|3 correct
395.txt math True 0|1|2|1|3|3|0|0 correct
396.txt math True 0|0|2|1|3|2|1|1 correct
397.txt math True 0|0|1|2|3|2|3|3 correct
398.txt math True 0|1|2|1|0|2|3|3 correct
399.txt math True 0|1|2|1|2|0|3|3 correct
4.txt math True 2|1|2|3|3|1|0|0 correct
40.txt math True 0|1|2|1|0|2|3|3 correct
400.txt math True impossible incorrect
41.txt math True 0|2|1|3|0|3|1|1 correct
42.txt math True 0|1|1|2|3|0|3|3 correct
43.txt math True 0|0|1|2|2|1|3|3 correct
44.txt math True 0|1|2|1|2|0|3|3 correct
45.txt math True 0|1|2|3|0|1|3|3 correct
46.txt math True 0|1|0|2|3|1|3|3 correct
47.txt math True impossible incorrect
48.txt math True 0|2|0|1|2|1|3|3 correct
49.txt math True 0|2|2|3|3|0|1|1 correct
5.txt math True 0|2|2|0|1|3|3|3 correct
50.txt math True 1|2|1|2|0|3|3|3 correct
51.txt math True 2|1|2|2|0|1|3|3 correct
52.txt math True 0|1|0|2|1|3|2|2 correct
53.txt math True 1|3|2|1|2|3|0|0 correct
54.txt math True 0|1|2|0|2|3|3|3 correct
55.txt math True impossible incorrect
56.txt math True 0|1|2|3|2|1|3|3 correct
57.txt math True 0|1|0|2|0|2|3|3 correct
58.txt math True 1|2|2|3|1|3|0|0 correct
59.txt math True 2|3|2|1|3|2|0|0 correct
6.txt math True impossible incorrect
60.txt math True 0|2|1|3|1|3|2|2 correct
61.txt math True 2|0|1|0|1|2|3|3 correct
62.txt math True impossible incorrect
63.txt math True 0|1|2|3|2|1|3|3 correct
64.txt math True 0|0|1|2|1|2|3|3 correct
65.txt math True 0|1|3|0|3|1|2|2 correct
66.txt math True 0|1|2|3|3|2|0|0 correct
67.txt math True impossible incorrect
68.txt math True 0|1|2|1|2|1|3|3 correct
69.txt math True 1|0|2|3|3|1|2|2 correct
7.txt math True 0|1|2|1|2|3|3|3 correct
70.txt math True 0|1|2|2|1|0|3|3 correct
71.txt math True 0|0|2|1|3|3|1|1 correct
72.txt math True 0|2|0|1|0|2|3|3 correct
73.txt math True 0|2|0|1|0|2|3|3 correct
74.txt math True 0|1|2|2|3|1|3|3 correct
75.txt math True 1|0|2|1|2|0|3|3 correct
76.txt math True 0|1|0|1|2|2|3|3 correct
77.txt math True 0|1|0|2|3|3|2|2 correct
78.txt math True 0|0|2|1|2|1|3|3 correct
79.txt math True 0|0|1|2|1|3|2|2 correct
8.txt math True 0|1|2|0|1|2|3|3 correct
80.txt math True 1|2|2|1|2|0|3|3 correct
81.txt math True 1|3|3|1|3|0|2|2 correct
82.txt math True 2|2|1|3|1|3|0|0 correct
83.txt math True 0|1|2|0|2|1|3|3 correct
84.txt math True 0|1|2|2|1|1|3|3 correct
85.txt math True 1|2|1|0|3|3|2|2 correct
86.txt math True 0|0|1|2|0|1|3|3 correct
87.txt math True 0|1|2|3|2|1|0|0 correct
88.txt math True 0|0|1|2|1|3|2|2 correct
89.txt math True 1|1|0|2|1|2|3|3 correct
9.txt math True 0|0|2|1|2|1|3|3 correct
90.txt math True impossible incorrect
91.txt math True 0|1|2|0|2|1|3|3 correct
92.txt math True 0|2|3|3|2|3|1|1 correct
93.txt math True 2|1|3|3|2|0|1|1 correct
94.txt math True 0|0|1|2|3|2|1|1 correct
95.txt math True 2|1|2|1|2|0|3|3 correct
96.txt math True 0|1|1|1|2|2|3|3 correct
97.txt math True 0|1|2|3|3|1|2|2 correct
98.txt math True 0|1|0|2|2|1|3|3 correct
99.txt math True 0|0|1|2|2|1|3|3 correct
